Module,"site1 Status","site1 Version","site2 Status","site2 Version","site3 Status","site3 Version"
ctools_custom_content,"Not installed",6.x-1.11,Enabled,6.x-1.10,"Not installed",6.x-1.11
ctools_plugin_example,"Not installed",6.x-1.11,"Not installed",6.x-1.10,"Not installed",6.x-1.11
date,Enabled,6.x-2.10,Enabled,6.x-2.9,Enabled,6.x-2.10
date_api,Enabled,6.x-2.10,Enabled,6.x-2.9,Enabled,6.x-2.10
date_locale,Enabled,6.x-2.10,"Not installed",6.x-2.9,Enabled,6.x-2.10
date_php4,Enabled,6.x-2.10,"Not installed",6.x-2.9,Enabled,6.x-2.10
date_popup,"Not installed",6.x-2.10,Enabled,6.x-2.9,"Not installed",6.x-2.10
date_repeat,"Not installed",6.x-2.10,"Not installed",6.x-2.9,"Not installed",6.x-2.10
date_timezone,Enabled,6.x-2.10,Enabled,6.x-2.9,Enabled,6.x-2.10
date_tools,Enabled,6.x-2.10,"Not installed",6.x-2.9,Enabled,6.x-2.10
dblog,Disabled,6.33,Disabled,6.33,Enabled,6.33
delegate_menu_admin,Empty,Empty,"Not installed",6.x-1.1,Empty,Empty
demo,Empty,Empty,"Not installed",6.x-1.2,Empty,Empty
devel,Disabled,6.x-1.27,Disabled,6.x-1.27,Disabled,6.x-1.27
devel_generate,Disabled,6.x-1.27,"Not installed",6.x-1.27,Disabled,6.x-1.27
devel_node_access,Disabled,6.x-1.27,"Not installed",6.x-1.27,Disabled,6.x-1.27
expire,Empty,Empty,Enabled,6.x-1.0,Empty,Empty
features_test,Empty,Empty,Empty,Empty,"Not installed",6.x-1.2
fieldgroup,Enabled,6.x-2.9,Enabled,6.x-2.9,Enabled,6.x-2.9
file_service,"Not installed",6.x-2.4,Empty,Empty,Empty,Empty
filefield,Enabled,6.x-3.12,Enabled,6.x-3.11,Enabled,6.x-3.12
filefield_meta,"Not installed",6.x-3.12,"Not installed",6.x-3.11,"Not installed",6.x-3.12
filefield_paths,Empty,Empty,"Not installed",6.x-1.4,Empty,Empty
filter,Enabled,6.33,Enabled,6.33,Enabled,6.33
fivestar,Enabled,6.x-1.21,Enabled,6.x-1.20,Enabled,6.x-1.21
fivestar_comment,Enabled,6.x-1.21,Enabled,6.x-1.20,Enabled,6.x-1.21
flag,Empty,Empty,Enabled,6.x-1.5,Empty,Empty
flag_actions,Empty,Empty,Enabled,6.x-1.5,Empty,Empty
forum,"Not installed",6.33,"Not installed",6.33,"Not installed",6.33
galleria,Empty,Empty,Enabled,6.x-1.0,Empty,Empty
garland,Empty,Empty,Enabled,6.33,Empty,Empty
help,Enabled,6.33,Enabled,6.33,Enabled,6.33
httprl,Empty,Empty,Enabled,6.x-1.11,Empty,Empty
image,Enabled,6.x-1.2,Empty,Empty,Enabled,6.x-1.2
image_attach,Enabled,6.x-1.2,Empty,Empty,Enabled,6.x-1.2
image_gallery,Enabled,6.x-1.2,Empty,Empty,Enabled,6.x-1.2
image_im_advanced,Enabled,6.x-1.2,Empty,Empty,Enabled,6.x-1.2
image_import,Disabled,6.x-1.2,Empty,Empty,Disabled,6.x-1.2
imageapi,Enabled,6.x-1.10,Enabled,6.x-1.10,Enabled,6.x-1.10
imageapi_gd,Enabled,6.x-1.10,Enabled,6.x-1.10,Enabled,6.x-1.10
imageapi_imagemagick,Enabled,6.x-1.10,Enabled,6.x-1.10,Enabled,6.x-1.10
imageapi_optimize,Empty,Empty,"Not installed",6.x-1.4,Empty,Empty
imagecache,Enabled,6.x-2.0-rc1,Enabled,6.x-2.0-rc1,Enabled,6.x-2.0-rc1
imagecache_ui,Enabled,6.x-2.0-rc1,Empty,Empty,Enabled,6.x-2.0-rc1
imagefield,Enabled,6.x-3.11,Enabled,6.x-3.11,Enabled,6.x-3.11
imagefield_crop,Enabled,6.x-1.0,Enabled,6.x-1.0,Enabled,6.x-1.0
imagefield_extended,Enabled,6.x-3.2,Empty,Empty,Enabled,6.x-3.2
imageinfo_cache,Empty,Empty,Enabled,6.x-2.1,Empty,Empty
importexportapi,"Not installed",6.x-1.x-dev,Empty,Empty,"Not installed",6.x-1.x-dev
importexportui,"Not installed",6.x-1.x-dev,Empty,Empty,"Not installed",6.x-1.x-dev
jcarousel,Empty,Empty,Enabled,6.x-2.6,Empty,Empty
jquery_plugin,Empty,Empty,Enabled,,Empty,Empty
jquery_ui,Empty,Empty,Enabled,6.x-1.5,Empty,Empty
jquery_update,Empty,Empty,Enabled,6.x-2.0-alpha1,Empty,Empty
l10n_client,Empty,Empty,"Not installed",6.x-1.7,Empty,Empty
link,Empty,Empty,Enabled,6.x-2.10,Empty,Empty
locale,Enabled,6.33,Enabled,6.33,Enabled,6.33
marvin,Empty,Empty,Disabled,6.33,Empty,Empty
memcache,Empty,Empty,Enabled,6.x-1.10,Empty,Empty
memcache_admin,"Not installed",6.x-1.8,"Not installed",6.x-1.10,"Not installed",6.x-1.8
menu,Enabled,6.33,Enabled,6.33,Enabled,6.33
menu_service,"Not installed",6.x-2.4,Empty,Empty,Empty,Empty
mimemail,Empty,Empty,"Not installed",6.x-1.2,Empty,Empty
mimemail_action,Empty,Empty,"Not installed",6.x-1.2,Empty,Empty
mimemail_compress,Empty,Empty,"Not installed",6.x-1.2,Empty,Empty
minnelli,Empty,Empty,Disabled,6.33,Empty,Empty
node,Enabled,6.33,Enabled,6.33,Enabled,6.33
node_gallery,Disabled,6.x-2.0-beta2,Empty,Empty,Empty,Empty
node_gallery_lightbox2,"Not installed",6.x-2.0-beta2,Empty,Empty,Empty,Empty
node_import,Empty,Empty,"Not installed",6.x-1.0-rc4,Empty,Empty
node_resource,"Not installed",6.x-2.4,Empty,Empty,Empty,Empty
node_service,"Not installed",6.x-2.4,Empty,Empty,Empty,Empty
nodequeue,Empty,Empty,Enabled,6.x-2.11,Empty,Empty
nodequeue_generate,Empty,Empty,"Not installed",6.x-2.11,Empty,Empty
nodequeue_service,Empty,Empty,"Not installed",6.x-2.11,Empty,Empty
nodereference,Enabled,6.x-2.9,Enabled,6.x-2.9,Enabled,6.x-2.9
nodewords,Enabled,6.x-1.14,Enabled,6.x-1.14,Enabled,6.x-1.14
nodewords_basic,Enabled,6.x-1.14,Enabled,6.x-1.14,Enabled,6.x-1.14
nodewords_extra,Enabled,6.x-1.14,Enabled,6.x-1.14,Enabled,6.x-1.14
nodewords_nodetype,Empty,Empty,Enabled,6.x-1.8,Empty,Empty
nodewords_og,"Not installed",6.x-1.14,"Not installed",6.x-1.14,"Not installed",6.x-1.14
number,Enabled,6.x-2.9,Enabled,6.x-2.9,Enabled,6.x-2.9
openid,"Not installed",6.33,"Not installed",6.33,"Not installed",6.33
optionwidgets,Enabled,6.x-2.9,Enabled,6.x-2.9,Enabled,6.x-2.9
ordered_set,Empty,Empty,Enabled,6.x-1.0-beta1,Empty,Empty
page_manager,Enabled,6.x-1.11,Enabled,6.x-1.10,Enabled,6.x-1.11
page_title,Enabled,6.x-2.7,Empty,Empty,Enabled,6.x-2.7
page_title_views_test,"Not installed",6.x-2.7,"Not installed",6.x-2.7,"Not installed",6.x-2.7
panels,Enabled,6.x-3.10,Enabled,6.x-3.10,Enabled,6.x-3.10
panels_everywhere,"Not installed",6.x-1.0,Empty,Empty,"Not installed",6.x-1.0
panels_ipe,"Not installed",6.x-3.10,"Not installed",6.x-3.10,"Not installed",6.x-3.10
panels_mini,Enabled,6.x-3.10,"Not installed",6.x-3.10,Enabled,6.x-3.10
panels_node,Enabled,6.x-3.10,"Not installed",6.x-3.10,Enabled,6.x-3.10
parallel_css,Empty,Empty,"Not installed",6.x-1.0,Empty,Empty
path,Enabled,6.33,Enabled,6.33,Enabled,6.33
path_redirect_generate,Empty,Empty,"Not installed",6.x-1.0-rc2,Empty,Empty
php,Enabled,6.33,Enabled,6.33,Enabled,6.33
ping,"Not installed",6.33,"Not installed",6.33,"Not installed",6.33
pngbehave,Empty,Empty,Disabled,6.x-1.7,Empty,Empty
