 Package                               Namen                                                                                       Type    Status         Version        
 Services - services                   Views Service (views_service)                                                               Module  Not installed  6.x-2.4        
 Taxonomy                              Taxonomy context (taxonomy_context)                                                         Module  Enabled        6.x-2.0-alpha3 
 Taxonomy                              Taxonomy Import/Export via XML (taxonomy_xml)                                               Module  Enabled        6.x-1.3        
 Taxonomy Image                        Taxonomy Image (taxonomy_image)                                                             Module  Enabled        6.x-1.7        
 Taxonomy Image                        Taxonomy Image Attach (taxonomy_image_attach)                                               Module  Enabled        6.x-1.7        
 Taxonomy Image                        Taxonomy Image Blocks (taxonomy_image_blocks)                                               Module  Not installed  6.x-1.7        
 Taxonomy Image                        Taxonomy Image Link Alter (taxonomy_image_link_alter)                                       Module  Not installed  6.x-1.7        
 Taxonomy Image                        Taxonomy Image Node Display (taxonomy_image_node_display)                                   Module  Not installed  6.x-1.7        
 Taxonomy Menu                         Taxonomy Menu (taxonomy_menu)                                                               Module  Enabled        6.x-2.9        
 Taxonomy Menu                         Taxonomy Menu Custom Path (taxonomy_menu_path_custom)                                       Module  Enabled        6.x-2.9        
 Taxonomy Menu                         Taxonomy Menu Hierarchy (taxonomy_menu_hierarchy)                                           Module  Enabled        6.x-2.9        
 Taxonomy Menu                         Taxonomy Menu Vocabulary Path (taxonomy_menu_vocabulary_path)                               Module  Not installed  6.x-2.9        
 Test package                          Translation template extractor tester (potx_test_6)                                         Module  Not installed  6.x-3.3        
 User interface                        CKEditor (ckeditor)                                                                         Module  Enabled        6.x-1.14       
 User interface                        Wysiwyg (wysiwyg)                                                                           Module  Not installed  6.x-2.1        
 Views                                 Views (views)                                                                               Module  Enabled        6.x-2.16       
 Views                                 Views exporter (views_export)                                                               Module  Enabled        6.x-2.16       
 Views                                 Views UI (views_ui)                                                                         Module  Enabled        6.x-2.16       
 Voting                                Advanced Poll (advpoll)                                                                     Module  Enabled        6.x-1.x-dev    
 Voting                                Advanced Poll Converter (advpoll_convert)                                                   Module  Not installed  6.x-1.x-dev    
 Voting                                Fivestar (fivestar)                                                                         Module  Enabled        6.x-1.21       
 Voting                                Fivestar Comments (fivestar_comment)                                                        Module  Enabled        6.x-1.21       
 Voting                                Voting API (votingapi)                                                                      Module  Enabled        6.x-2.3        
 XML sitemap                           XML sitemap (xmlsitemap)                                                                    Module  Enabled        6.x-2.0        
 XML sitemap                           XML sitemap custom (xmlsitemap_custom)                                                      Module  Enabled        6.x-2.0        
 XML sitemap                           XML sitemap engines (xmlsitemap_engines)                                                    Module  Not installed  6.x-2.0        
 XML sitemap                           XML sitemap internationalization (xmlsitemap_i18n)                                          Module  Not installed  6.x-2.0        
 XML sitemap                           XML sitemap menu (xmlsitemap_menu)                                                          Module  Enabled        6.x-2.0        
 XML sitemap                           XML sitemap modal UI (xmlsitemap_modal)                                                     Module  Not installed  6.x-2.0        
 XML sitemap                           XML sitemap node (xmlsitemap_node)                                                          Module  Enabled        6.x-2.0        
 XML sitemap                           XML sitemap taxonomy (xmlsitemap_taxonomy)                                                  Module  Enabled        6.x-2.0        
 
