 Package                                         Name                                                                                       Type    Status         Version        
 Views                                           Views Filters Reset (views_filters_reset)                                                  Module  Not installed  6.x-1.0-beta2  
 Views                                           Views Flipped Table (views_flipped_table)                                                  Module  Not installed  6.x-1.0-beta2  
 Views                                           Views Perm (views_perm)                                                                    Module  Not installed  6.x-1.0-beta2  
 Views                                           Views Selective Exposed Filters (views_filters_selective)                                  Module  Not installed  6.x-1.0-beta2  
 Views                                           Views Taxonomy Summary (views_summary_taxonomy)                                            Module  Not installed  6.x-1.0-beta2  
 Views                                           Views Type Block (views_block)                                                             Module  Not installed  6.x-1.0-beta2  
 Views                                           Views UI (views_ui)                                                                        Module  Enabled        6.x-2.16       
 Voting                                          Advanced Poll (advpoll)                                                                    Module  Enabled        6.x-1.x-dev    
 Voting                                          Advanced Poll Converter (advpoll_convert)                                                  Module  Enabled        6.x-1.x-dev    
 Voting                                          Fivestar (fivestar)                                                                        Module  Enabled        6.x-1.20       
 Voting                                          Fivestar Comments (fivestar_comment)                                                       Module  Enabled        6.x-1.20       
 Voting                                          Voting API (votingapi)                                                                     Module  Enabled        6.x-2.3        
 XML sitemap                                     XML sitemap (xmlsitemap)                                                                   Module  Enabled        6.x-2.0-rc2    
 XML sitemap                                     XML sitemap custom (xmlsitemap_custom)                                                     Module  Enabled        6.x-2.0-rc2    
 XML sitemap                                     XML sitemap engines (xmlsitemap_engines)                                                   Module  Not installed  6.x-2.0-rc2    
 XML sitemap                                     XML sitemap internationalization (xmlsitemap_i18n)                                         Module  Not installed  6.x-2.0-rc2    
 XML sitemap                                     XML sitemap menu (xmlsitemap_menu)                                                         Module  Enabled        6.x-2.0-rc2    
 XML sitemap                                     XML sitemap modal UI (xmlsitemap_modal)                                                    Module  Not installed  6.x-2.0-rc2    
 XML sitemap                                     XML sitemap node (xmlsitemap_node)                                                         Module  Enabled        6.x-2.0-rc2    
 XML sitemap                                     XML sitemap taxonomy (xmlsitemap_taxonomy)                                                 Module  Enabled        6.x-2.0-rc2    
 XML sitemap                                     XML sitemap user (xmlsitemap_user)                                                         Module  Not installed  6.x-2.0-rc2    
 Other                                           Chameleon (chameleon)                                                                      Theme   Disabled       6.33           
 Other                                           Garland (garland)                                                                          Theme   Enabled        6.33           
 Other                                           Marvin (marvin)                                                                            Theme   Disabled       6.33           
 Other                                           Minnelli (minnelli)                                                                        Theme   Disabled       6.33           
 Other                                           Pushbutton (pushbutton)                                                                    Theme   Disabled       6.33           

