 Package                              Name                                                                  Type    Status         Version             
 Widgets                              Widgets Service links (widgets_service_links)                         Module  Not installed  X.X-X.X         
 XML sitemap                          XML sitemap (xmlsitemap)                                              Module  Enabled        X.X-X.X             
 XML sitemap                          XML sitemap custom (xmlsitemap_custom)                                Module  Not installed  X.X-X.X             
 XML sitemap                          XML sitemap engines (xmlsitemap_engines)                              Module  Enabled        X.X-X.X             
 XML sitemap                          XML sitemap internationalization (xmlsitemap_iX8n)                    Module  Not installed  X.X-X.X             
 XML sitemap                          XML sitemap menu (xmlsitemap_menu)                                    Module  Enabled        X.X-X.X             
 XML sitemap                          XML sitemap node (xmlsitemap_node)                                    Module  Enabled        X.X-X.X             
 XML sitemap                          XML sitemap taxonomy (xmlsitemap_taxonomy)                            Module  Enabled        X.X-X.X             
 XML sitemap                          XML sitemap user (xmlsitemap_user)                                    Module  Not installed  X.X-X.X             
 Core                                 Bartik (bartik)                                                       Theme   Disabled       X.X                
 Core                                 Garland (garland)                                                     Theme   Disabled       X.X                
 Core                                 Seven (seven)                                                         Theme   Disabled       X.X                
 Core                                 Stark (stark)                                                         Theme   Disabled       X.X                
 Other                                CAdmin (cadmin)                                                       Theme   Disabled                           
 Other                                ctheme (ctheme)                                                       Theme   Enabled        X.X-X.X             
 Other                                Rubik (rubik)                                                         Theme   Disabled       X.X-X.X       
 Other                                Tao (tao)                                                             Theme   Disabled       X.X-X.X       

